state_code,state_name,district_code,district_name
33,Tamil Nadu,610,Ariyalur
33,Tamil Nadu,730,Chengalpattu
33,Tamil Nadu,568,Chennai
33,Tamil Nadu,569,Coimbatore
33,Tamil Nadu,570,Cuddalore
33,Tamil Nadu,571,Dharmapuri
33,Tamil Nadu,572,Dindigul
33,Tamil Nadu,573,Erode
33,Tamil Nadu,729,Kallakurichi
33,Tamil Nadu,574,Kancheepuram
33,Tamil Nadu,575,Kanniyakumari
33,Tamil Nadu,576,Karur
33,Tamil Nadu,577,Krishnagiri
33,Tamil Nadu,578,Madurai
33,Tamil Nadu,735,Mayiladuthurai
33,Tamil Nadu,579,Nagapattinam
33,Tamil Nadu,580,Namakkal
33,Tamil Nadu,581,Perambalur
33,Tamil Nadu,582,Pudukkottai
33,Tamil Nadu,583,Ramanathapuram
33,Tamil Nadu,731,Ranipet
33,Tamil Nadu,584,Salem
33,Tamil Nadu,585,Sivaganga
33,Tamil Nadu,733,Tenkasi
33,Tamil Nadu,586,Thanjavur
33,Tamil Nadu,588,Theni
33,Tamil Nadu,587,The Nilgiris
33,Tamil Nadu,589,Thiruvallur
33,Tamil Nadu,590,Thiruvarur
33,Tamil Nadu,594,Thoothukkudi
33,Tamil Nadu,591,Tiruchirappalli
33,Tamil Nadu,592,Tirunelveli
33,Tamil Nadu,732,Tirupathur
33,Tamil Nadu,634,Tiruppur
33,Tamil Nadu,593,Tiruvannamalai
33,Tamil Nadu,595,Vellore
33,Tamil Nadu,596,Viluppuram
33,Tamil Nadu,597,Virudhunagar
